3240.6,2.1113e+05,72391,1.7898e+05,1.7457e+05,2.1469e+05,1.0819e+05,2.1331e+05,1.6037e+05,1.9085e+05,1.1588e+05,1.1634e+05,56724,1.2718e+05,2.7026e+05
2.1113e+05,4565.9,76474,37968,36278,29701,47187,29946,34286,29883,62831,42965,1.0243e+05,34065,31137
72391,76474,4729.3,62812,54954,57919,30692,75072,38739,58766,34322,27506,26934,36847,96788
1.7898e+05,37968,62812,8691.3,32770,35378,37782,35420,37235,24361,41958,27792,68890,28200,46188
1.7457e+05,36278,54954,32770,9223.1,28487,33771,31215,25182,27123,44756,30749,74162,21966,33303
2.1469e+05,29701,57919,35378,28487,5554.4,41397,22119,18702,22348,48627,34286,92306,33352,20356
1.0819e+05,47187,30692,37782,33771,41397,8792,33211,25410,32360,21493,15666,35345,16769,60743
2.1331e+05,29946,75072,35420,31215,22119,33211,9171.1,25304,22430,45179,34056,92023,27720,23387
1.6037e+05,34286,38739,37235,25182,18702,25410,25304,9282.6,23564,35668,21615,61323,19762,30159
1.9085e+05,29883,58766,24361,27123,22348,32360,22430,23564,11105,34670,21535,71265,23332,27002
1.1588e+05,62831,34322,41958,44756,48627,21493,45179,35668,34670,12711,15553,30625,25747,70022
1.1634e+05,42965,27506,27792,30749,34286,15666,34056,21615,21535,15553,8898,32011,16474,55175
56724,1.0243e+05,26934,68890,74162,92306,35345,92023,61323,71265,30625,32011,10993,43971,1.2877e+05
1.2718e+05,34065,36847,28200,21966,33352,16769,27720,19762,23332,25747,16474,43971,9227.4,43347
2.7026e+05,31137,96788,46188,33303,20356,60743,23387,30159,27002,70022,55175,1.2877e+05,43347,9686.6
