0,203.27,229.93,207.31,227.58,143.99,431.4,217.23,191.24,221.81,277.05,230.63,253.37,396.27,131.71
203.27,0,127.86,70.415,88.924,62.152,220.45,131.31,168.12,95.878,113.04,89.588,105.4,164.71,91.073
229.93,127.86,7.5688,96.16,80.79,63.931,80.128,72.135,48.97,63.727,87.389,55.369,57.293,92.175,54.062
207.31,70.415,96.16,8.8366,82.201,46.281,154.32,73.471,84.208,43.949,56.969,61.516,52.129,91.1,60.994
227.58,88.924,80.79,82.201,10.223,58.791,160.77,136.12,120.52,71.454,86.159,57.411,85.998,135.59,92.8
143.99,62.152,63.931,46.281,58.791,11.015,142.88,96.555,58.602,55.522,49.158,63.551,53.399,105.51,34.285
431.4,220.45,80.128,154.32,160.77,142.88,18.03,126.88,94.357,88.095,107.39,89.306,72.33,57.818,131.67
217.23,131.31,72.135,73.471,136.12,96.555,126.88,13.111,74.293,52.809,115.06,46.957,60.802,126.94,59.686
191.24,168.12,48.97,84.208,120.52,58.602,94.357,74.293,13.054,68.083,68.067,77.523,49.108,92.15,41.358
221.81,95.878,63.727,43.949,71.454,55.522,88.095,52.809,68.083,10.818,68.711,24.615,32.585,73.757,56.934
277.05,113.04,87.389,56.969,86.159,49.158,107.39,115.06,68.067,68.711,14.467,78.575,36.263,56.921,70.875
230.63,89.588,55.369,61.516,57.411,63.551,89.306,46.957,77.523,24.615,78.575,11.609,37.884,92.462,60.193
253.37,105.4,57.293,52.129,85.998,53.399,72.33,60.802,49.108,32.585,36.263,37.884,13.998,48.383,49.503
396.27,164.71,92.175,91.1,135.59,105.51,57.818,126.94,92.15,73.757,56.921,92.462,48.383,23.13,104.47
131.71,91.073,54.062,60.994,92.8,34.285,131.67,59.686,41.358,56.934,70.875,60.193,49.503,104.47,18.246
