0,319.16,176.85,173.9,172.65,174.65,205.42,162.59,273.14,149.39,150.72,200.87,159.24,137.55,166.7,134.05
319.16,0,228.96,403.17,356.43,282.34,440.3,235.2,170.04,342.07,362.12,425.27,398.03,312.37,241.56,324.09
176.85,228.96,0,221.06,168.62,143.35,259.53,117.92,186.41,176.43,197.38,260.94,220.48,144.53,115.45,150.87
173.9,403.17,221.06,0,142.9,220.19,109.56,224.23,350.4,127.29,132.82,145.53,111.89,148.78,224.82,124.44
172.65,356.43,168.62,142.9,0,179.6,175.35,188.08,303.56,148.43,154.96,186.35,146.12,127.11,196.68,125.58
174.65,282.34,143.35,220.19,179.6,0,259.19,113.13,193.89,175.03,199.43,231.73,180.77,117.05,152.88,151.33
205.42,440.3,259.53,109.56,175.35,259.19,0,256.09,387.56,141.25,114.47,119.63,111.4,177.6,263.24,138.95
162.59,235.2,117.92,224.23,188.08,113.13,256.09,0,149.91,167.14,181.18,225.99,196.13,111.76,112.48,130.63
273.14,170.04,186.41,350.4,303.56,193.89,387.56,149.91,0,285.06,308.97,351.82,326.04,237.79,181.2,259.92
149.39,342.07,176.43,127.29,148.43,175.03,141.25,167.14,285.06,0,115.02,137.75,111.72,116.22,164.52,88.52
150.72,362.12,197.38,132.82,154.96,199.43,114.47,181.18,308.97,115.02,0,126.64,106.21,125.23,200.05,88.045
200.87,425.27,260.94,145.53,186.35,231.73,119.63,225.99,351.82,137.75,126.64,0,94.727,151.2,249.78,130.18
159.24,398.03,220.48,111.89,146.12,180.77,111.4,196.13,326.04,111.72,106.21,94.727,0,111.53,212.69,99.519
137.55,312.37,144.53,148.78,127.11,117.05,177.6,111.76,237.79,116.22,125.23,151.2,111.53,0,148.91,74.849
166.7,241.56,115.45,224.82,196.68,152.88,263.24,112.48,181.2,164.52,200.05,249.78,212.69,148.91,0,149.87
134.05,324.09,150.87,124.44,125.58,151.33,138.95,130.63,259.92,88.52,88.045,130.18,99.519,74.849,149.87,0
