0,1.7268e+05,1.6809e+05,1.7965e+05,1.5845e+05,1.3056e+05,1.5749e+05,1.4881e+05,1.4832e+05,1.5278e+05,1.4252e+05,1.4912e+05
1.7268e+05,2417.2,68978,70869,81458,78517,64777,56547,58466,51569,54810,54264
1.6809e+05,68978,5434.4,24780,30637,72916,15913,43080,17372,14310,22349,27368
1.7965e+05,70869,24780,10460,45208,70263,29989,41545,26868,21382,30372,31722
1.5845e+05,81458,30637,45208,5406.7,75747,14124,50865,14588,21509,20654,27297
1.3056e+05,78517,72916,70263,75747,20418,52786,31757,42340,42059,37226,41673
1.5749e+05,64777,15913,29989,14124,52786,4546.7,41728,8216.3,8365.9,11987,21541
1.4881e+05,56547,43080,41545,50865,31757,41728,11356,22549,21732,18354,19614
1.4832e+05,58466,17372,26868,14588,42340,8216.3,22549,3483.2,7794.6,8954.4,12390
1.5278e+05,51569,14310,21382,21509,42059,8365.9,21732,7794.6,4103.2,8833.8,15300
1.4252e+05,54810,22349,30372,20654,37226,11987,18354,8954.4,8833.8,5143.9,12963
1.4912e+05,54264,27368,31722,27297,41673,21541,19614,12390,15300,12963,7809.8
