950.02,1.9973e+05,37834,79513,1.0458e+05,61375,96797,40116,68094,52446,29915,51771,31970,35327,35530,41156,60168,35039,30564,31906,44864,55048,32872
1.9973e+05,4346.8,1.356e+05,1.135e+05,50332,82200,81968,2.6808e+05,85742,1.0715e+05,2.4428e+05,1.3349e+05,1.4373e+05,1.9686e+05,1.4413e+05,2.0711e+05,96600,1.628e+05,2.0052e+05,1.6831e+05,3.13e+05,1.1516e+05,1.9579e+05
37834,1.356e+05,5359.6,45056,57306,34287,57910,45489,35960,22285,35045,30928,25170,31107,22099,43498,27958,29817,28420,25204,64705,29955,26118
79513,1.135e+05,45056,6425.1,39279,42499,29813,88417,31986,37313,78452,42124,46947,52881,38815,58732,30270,49980,66112,44267,1.1622e+05,32401,62635
1.0458e+05,50332,57306,39279,7447.1,35440,28773,1.2943e+05,24590,35765,1.1259e+05,50550,56513,83227,53437,93277,25664,70730,91788,62760,1.6438e+05,38003,84970
61375,82200,34287,42499,35440,6869.7,38440,86597,20470,27744,73188,34488,24649,58390,27793,65043,29582,41274,47814,43170,1.0558e+05,35818,52614
96797,81968,57910,29813,28773,38440,10734,1.1198e+05,24129,34341,99580,44594,49529,68697,44541,79925,30316,62343,79980,54675,1.4192e+05,35474,74806
40116,2.6808e+05,45489,88417,1.2943e+05,86597,1.1198e+05,8307.7,78603,61059,12276,46784,40928,24405,35918,27356,70124,35186,22447,27624,20515,58478,19362
68094,85742,35960,31986,24590,20470,24129,78603,7502.3,23467,68473,23223,26761,47287,23808,57865,21942,41078,47956,35505,1.0336e+05,26506,46679
52446,1.0715e+05,22285,37313,35765,27744,34341,61059,23467,9465.3,46456,23809,22501,36731,20851,44580,17982,31573,37115,24694,80792,21450,30976
29915,2.4428e+05,35045,78452,1.1259e+05,73188,99580,12276,68473,46456,5904.1,43432,32525,23168,28968,26222,58178,32240,18571,20950,21680,54384,17323
51771,1.3349e+05,30928,42124,50550,34488,44594,46784,23223,23809,43432,10452,23775,29849,17441,33196,24695,26459,30230,21203,68458,22223,27503
31970,1.4373e+05,25170,46947,56513,24649,49529,40928,26761,22501,32525,23775,7665.1,27464,13363,35059,30856,23366,18346,19533,50558,30895,21864
35327,1.9686e+05,31107,52881,83227,58390,68697,24405,47287,36731,23168,29849,27464,11761,19535,23161,38375,23202,19454,16010,36762,32348,17445
35530,1.4413e+05,22099,38815,53437,27793,44541,35918,23808,20851,28968,17441,13363,19535,8016.4,30270,25643,19290,17145,16409,50233,26906,20066
41156,2.0711e+05,43498,58732,93277,65043,79925,27356,57865,44580,26222,33196,35059,23161,30270,10299,44987,25385,29236,20087,42630,36485,25242
60168,96600,27958,30270,25664,29582,30316,70124,21942,17982,58178,24695,30856,38375,25643,44987,10174,34294,46864,26694,96398,19789,40966
35039,1.628e+05,29817,49980,70730,41274,62343,35186,41078,31573,32240,26459,23366,23202,19290,25385,34294,13119,19647,17411,47159,26359,19926
30564,2.0052e+05,28420,66112,91788,47814,79980,22447,47956,37115,18571,30230,18346,19454,17145,29236,46864,19647,8757.8,20020,27342,44461,15688
31906,1.6831e+05,25204,44267,62760,43170,54675,27624,35505,24694,20950,21203,19533,16010,16409,20087,26694,17411,20020,9367.5,42097,25277,16507
44864,3.13e+05,64705,1.1622e+05,1.6438e+05,1.0558e+05,1.4192e+05,20515,1.0336e+05,80792,21680,68458,50558,36762,50233,42630,96398,47159,27342,42097,12243,82324,27541
55048,1.1516e+05,29955,32401,38003,35818,35474,58478,26506,21450,54384,22223,30895,32348,26906,36485,19789,26359,44461,25277,82324,11975,33606
32872,1.9579e+05,26118,62635,84970,52614,74806,19362,46679,30976,17323,27503,21864,17445,20066,25242,40966,19926,15688,16507,27541,33606,9500.6
