0,2.1228e+05,2.0235e+05,2.2766e+05,1.7655e+05,73403,2.7053e+05,1.4954e+05,3.0791e+05,83609,1.2819e+05,1.922e+05,2.3544e+05,54767,72305,42163,1.2736e+05,45888,1.0409e+05,1.4693e+05,1.5953e+05
2.1228e+05,3367.7,38523,29712,24002,67247,21144,28520,26705,72670,28422,16288,20822,77832,58493,96304,44293,88919,36000,21786,19201
2.0235e+05,38523,4056.1,25007,20872,65109,26608,24770,43323,58449,26335,20962,19590,65237,54859,81094,31089,81337,34729,22340,23357
2.2766e+05,29712,25007,4802.9,18552,70850,20693,25060,24822,70039,25227,16780,14415,75120,69506,97212,27569,89571,37486,20252,21958
1.7655e+05,24002,20872,18552,3511.4,50664,23579,13005,34930,47399,13483,12372,14604,50821,44814,69211,19673,59529,20680,13650,13001
73403,67247,65109,70850,50664,5573.5,97684,39052,1.1353e+05,25321,27837,53979,74424,15937,22407,21130,30724,18399,20217,33194,41394
2.7053e+05,21144,26608,20693,23579,97684,3722.8,33699,16496,91424,39562,16832,11591,1.0427e+05,83538,1.2788e+05,50389,1.197e+05,51635,30188,26041
1.4954e+05,28520,24770,25060,13005,39052,33699,3993.1,51593,28511,12286,16284,19718,37449,30380,53380,19505,45400,16129,13043,11881
3.0791e+05,26705,43323,24822,34930,1.1353e+05,16496,51593,6129.1,1.1797e+05,49701,25072,19634,1.2499e+05,1.0959e+05,1.5219e+05,60162,1.4106e+05,67075,39709,39422
83609,72670,58449,70039,47399,25321,91424,28511,1.1797e+05,6503.9,28302,52310,65522,16946,16162,20896,33339,20156,21586,33283,37316
1.2819e+05,28422,26335,25227,13483,27837,39562,12286,49701,28302,3989.7,17781,25562,27813,26749,42862,13600,36466,11043,10648,12018
1.922e+05,16288,20962,16780,12372,53979,16832,16284,25072,52310,17781,5079.3,11718,59882,46465,76138,23968,67767,21686,10438,10728
2.3544e+05,20822,19590,14415,14604,74424,11591,19718,19634,65522,25562,11718,4585.7,79668,65388,1.025e+05,33379,94253,36267,20091,15679
54767,77832,65237,75120,50821,15937,1.0427e+05,37449,1.2499e+05,16946,27813,59882,79668,4625.5,13283,9941.9,27718,11430,20278,35513,43871
72305,58493,54859,69506,44814,22407,83538,30380,1.0959e+05,16162,26749,46465,65388,13283,5708.3,14611,29444,17555,15900,27133,33021
42163,96304,81094,97212,69211,21130,1.2788e+05,53380,1.5219e+05,20896,42862,76138,1.025e+05,9941.9,14611,4996.9,40401,11132,28275,47432,60276
1.2736e+05,44293,31089,27569,19673,30724,50389,19505,60162,33339,13600,23968,33379,27718,29444,40401,6528.5,34165,12137,12275,18758
45888,88919,81337,89571,59529,18399,1.197e+05,45400,1.4106e+05,20156,36466,67767,94253,11430,17555,11132,34165,5119.5,22880,43460,53053
1.0409e+05,36000,34729,37486,20680,20217,51635,16129,67075,21586,11043,21686,36267,20278,15900,28275,12137,22880,5200.5,10950,15054
1.4693e+05,21786,22340,20252,13650,33194,30188,13043,39709,33283,10648,10438,20091,35513,27133,47432,12275,43460,10950,5038.4,9995.9
1.5953e+05,19201,23357,21958,13001,41394,26041,11881,39422,37316,12018,10728,15679,43871,33021,60276,18758,53053,15054,9995.9,5622.8
