7753.5,58835,53385,59586,45506,49442,60819,49267,54276,57725
58835,5804.4,17784,59297,15858,11303,21612,24138,19677,20848
53385,17784,3125.3,57493,9941.5,13781,16144,20314,22705,8789.8
59586,59297,57493,14544,36927,41805,53741,35805,46727,48545
45506,15858,9941.5,36927,4159.2,8942.7,18072,14109,15116,10543
49442,11303,13781,41805,8942.7,3851.2,13632,16800,12881,14142
60819,21612,16144,53741,18072,13632,4777.6,22699,22873,11836
49267,24138,20314,35805,14109,16800,22699,8327.5,20773,14352
54276,19677,22705,46727,15116,12881,22873,20773,8486.3,17882
57725,20848,8789.8,48545,10543,14142,11836,14352,17882,4641.4
