0,256.15,162.46,212.54,383.84,201.63,233.36,179.73,260.47,362.95,320.22,213.43,229.39,275.77,263.24,293.69
256.15,0,197.32,200.31,375.48,179.45,223.18,197.95,278.58,367.78,324.11,231.94,227.51,252.16,254.36,296.67
162.46,197.32,0,152.32,376,167.96,208.33,134.53,248.43,357,315.86,199.89,212.79,260.95,243.68,288.63
212.54,200.31,152.32,0,306.48,162.34,147.65,124.54,176.1,296.67,255.76,154.02,164.45,213.06,188.04,224.45
383.84,375.48,376,306.48,0,295.52,214.01,285.65,186.19,119.1,120.51,228.06,216.46,169.43,175.22,132.84
201.63,179.45,167.96,162.34,295.52,0,156.47,118.93,187.23,270.68,234.31,130.64,149.15,173.53,152.46,197.83
233.36,223.18,208.33,147.65,214.01,156.47,0,139.68,134.86,212.84,165.2,115.93,116.24,130.85,114.66,143.45
179.73,197.95,134.53,124.54,285.65,118.93,139.68,0,154.74,257.84,218.65,123.18,131.2,177.01,151.13,189.57
260.47,278.58,248.43,176.1,186.19,187.23,134.86,154.74,0,160.42,129.73,119.3,122.89,135.69,112.9,108.23
362.95,367.78,357,296.67,119.1,270.68,212.84,257.84,160.42,0,110.91,197.2,201.7,160.17,145.43,99.658
320.22,324.11,315.86,255.76,120.51,234.31,165.2,218.65,129.73,110.91,0,176.18,148.67,126.07,125.83,95.143
213.43,231.94,199.89,154.02,228.06,130.64,115.93,123.18,119.3,197.2,176.18,0,116.43,130.29,106.79,120.55
229.39,227.51,212.79,164.45,216.46,149.15,116.24,131.2,122.89,201.7,148.67,116.43,0,99.382,124.36,132.48
275.77,252.16,260.95,213.06,169.43,173.53,130.85,177.01,135.69,160.17,126.07,130.29,99.382,0,104.37,98.164
263.24,254.36,243.68,188.04,175.22,152.46,114.66,151.13,112.9,145.43,125.83,106.79,124.36,104.37,0,87.017
293.69,296.67,288.63,224.45,132.84,197.83,143.45,189.57,108.23,99.658,95.143,120.55,132.48,98.164,87.017,0
