0,344.03,305.49,300.09,283.37,291.04,319,331.03,312.27,319.07,332.14,311.39
344.03,0,304.47,151.33,170.52,132.2,147.26,130.05,131.98,133.77,159.07,121.58
305.49,304.47,0,271.28,231.05,265.72,262.86,286.4,285.87,280.68,299.79,268.65
300.09,151.33,271.28,0,101.58,111.73,98.29,100.44,127.5,119.24,139.68,104.18
283.37,170.52,231.05,101.58,0,99.576,93.347,130.96,136.02,127.15,160.17,100.68
291.04,132.2,265.72,111.73,99.576,0,121.08,134.86,111.23,115.76,156.62,82.458
319,147.26,262.86,98.29,93.347,121.08,0,81.864,121.24,81.117,116.07,83.623
331.03,130.05,286.4,100.44,130.96,134.86,81.864,0,92.8,74.71,78.725,78.197
312.27,131.98,285.87,127.5,136.02,111.23,121.24,92.8,0,71.999,91.986,72.639
319.07,133.77,280.68,119.24,127.15,115.76,81.117,74.71,71.999,0,85.474,61.362
332.14,159.07,299.79,139.68,160.17,156.62,116.07,78.725,91.986,85.474,0,112.97
311.39,121.58,268.65,104.18,100.68,82.458,83.623,78.197,72.639,61.362,112.97,0
