12667,1.261e+05,1.187e+05,96959,86499,89350,1.0745e+05,1.1367e+05,1.0213e+05,1.069e+05,1.1764e+05,1.004e+05
1.261e+05,7747.2,1.1808e+05,29808,35279,22119,27368,21006,22033,22989,32622,18219
1.187e+05,1.1808e+05,25374,80500,59586,75251,74780,86119,86338,83878,97191,75608
96959,29808,80500,6908,16521,17126,15345,14182,20871,19313,26831,14290
86499,35279,59586,16521,6202,14559,14397,21243,23116,21262,32973,13574
89350,22119,75251,17126,14559,4643.5,20344,22279,16985,18497,31848,10236
1.0745e+05,27368,74780,15345,14397,20344,5683.7,10795,19313,11675,20792,10430
1.1367e+05,21006,86119,14182,21243,22279,10795,4093.3,13226,10677,13518,9551.9
1.0213e+05,22033,86338,20871,23116,16985,19313,13226,4614.1,10279,15781,8713.5
1.069e+05,22989,83878,19313,21262,18497,11675,10677,10279,5095.2,14626,7202.5
1.1764e+05,32622,97191,26831,32973,31848,20792,13518,15781,14626,7319.9,16200
1.004e+05,18219,75608,14290,13574,10236,10430,9551.9,8713.5,7202.5,16200,3437.2
