0,409.51,325.94,385.9,315.72,330.84,346.58,353.25,336.58,354.17,358.41
409.51,0,306.36,349.32,316.22,279.69,321.59,320.4,300.5,319.06,324.31
325.94,306.36,0,235.78,201.74,156.29,198.61,190.76,179.38,205.09,214.04
385.9,349.32,235.78,0,195.87,173.41,139.67,137.75,167.77,145.69,118.88
315.72,316.22,201.74,195.87,0,133.02,120.36,130.7,114,128.82,136.09
330.84,279.69,156.29,173.41,133.02,0,112.41,97.508,77.887,121.9,132.9
346.58,321.59,198.61,139.67,120.36,112.41,0,75.628,96.231,75.836,73.456
353.25,320.4,190.76,137.75,130.7,97.508,75.628,0,78.887,68.878,82.902
336.58,300.5,179.38,167.77,114,77.887,96.231,78.887,0,76.549,102.65
354.17,319.06,205.09,145.69,128.82,121.9,75.836,68.878,76.549,0,63.164
358.41,324.31,214.04,118.88,136.09,132.9,73.456,82.902,102.65,63.164,0
