0,1.677e+05,1.169e+05,1.5672e+05,1.1214e+05,1.1489e+05,1.2557e+05,1.2819e+05,1.1723e+05,1.2869e+05,1.3279e+05
1.677e+05,1.1208e-27,1.0452e+05,1.2982e+05,1.1245e+05,83656,1.0887e+05,1.0606e+05,94245,1.0506e+05,1.0951e+05
1.169e+05,1.0452e+05,10665,63387,53157,29857,44897,39793,36123,45319,50148
1.5672e+05,1.2982e+05,63387,7793.7,50824,35503,24961,22379,32092,24482,18465
1.1214e+05,1.1245e+05,53157,50824,12459,23126,19940,20487,16942,19852,22853
1.1489e+05,83656,29857,35503,23126,5431.4,18090,12912,10012,18116,21996
1.2557e+05,1.0887e+05,44897,24961,19940,18090,5453,9123.6,13206,9007.4,9728.6
1.2819e+05,1.0606e+05,39793,22379,20487,12912,9123.6,3404,10169,8000.5,11205
1.1723e+05,94245,36123,32092,16942,10012,13206,10169,3945.5,9116,14870
1.2869e+05,1.0506e+05,45319,24482,19852,18116,9007.4,8000.5,9116,3256.3,8322.5
1.3279e+05,1.0951e+05,50148,18465,22853,21996,9728.6,11205,14870,8322.5,4332.8
